price,brand,model,trim,kilometers,year,vehicle_age_years,regional_specs,doors,body_type,fuel_type,seating_capacity,transmission_type,engine_capacity_cc,horsepower,no_of_cylinders,exterior_color,interior_color,warranty,address,country,city,area_name,location_name,latitude,longitude,seller_type
129900,Dodge,Ram,1500 SLT Crew,47566,2021,3,GCC Specs,4,Pick Up Truck,Petrol,5,Automatic Transmission,4000+ cc,300 - 399 HP,8,White,Unknown,Yes,"Al Khabaisi, Deira, Dubai, UAE",UAE,Dubai,Deira,Al Khabaisi,25.266173,55.3377718,Dealership/Certified Pre-Owned
319900,Alfa Romeo,Stelvio,Quadrifoglio,8914,2020,4,GCC Specs,5,SUV,Petrol,5,Automatic Transmission,2500 - 2999 cc,500 - 599 HP,6,Red,Black,Yes,"Abu Hail, Deira, Dubai, UAE",UAE,Dubai,Deira,Abu Hail,25.2754161,55.3464499,Dealership/Certified Pre-Owned
149900,Audi,Q5,S-line,72205,2019,5,GCC Specs,5,SUV,Petrol,5,Automatic Transmission,2000 - 2499 cc,200 - 299 HP,4,Green,Brown,Yes,"Al Khabaisi, Deira, Dubai, UAE",UAE,Dubai,Deira,Al Khabaisi,25.266173,55.3377718,Dealership/Certified Pre-Owned
79900,Alfa Romeo,GIULIETTA,Veloce,49193,2021,3,GCC Specs,4,Hatchback,Petrol,5,Automatic Transmission,1500 - 1999 cc,200 - 299 HP,4,Grey,Black,Yes,"Al Khabaisi, Deira, Dubai, UAE",UAE,Dubai,Deira,Al Khabaisi,25.266173,55.3377718,Dealership/Certified Pre-Owned
154900,GAC,GS8,GL,30,2024,0,GCC Specs,5,SUV,Petrol,7,Automatic Transmission,2000 - 2499 cc,200 - 299 HP,4,Silver,Other Color,Yes,"Al Khabaisi, Deira, Dubai, UAE",UAE,Dubai,Deira,Al Khabaisi,25.266173,55.3377718,Dealership/Certified Pre-Owned
209900,Land Rover,Range Rover,Vogue SE,99174,2017,7,GCC Specs,4,SUV,Petrol,7,Automatic Transmission,4000+ cc,400 - 499 HP,8,White,Unknown,No,"Al Khabaisi, Deira, Dubai, UAE",UAE,Dubai,Deira,Al Khabaisi,25.266173,55.3377718,Dealership/Certified Pre-Owned
61900,Hyundai,Creta,Base,52920,2022,2,GCC Specs,5,SUV,Petrol,5,Automatic Transmission,1500 - 1999 cc,100 - 199 HP,4,White,Other Color,Yes,"Al Khabaisi, Deira, Dubai, UAE",UAE,Dubai,Deira,Al Khabaisi,25.266173,55.3377718,Dealership/Certified Pre-Owned
139900,Volkswagen,Teramont,Trendline,20450,2022,2,GCC Specs,5,SUV,Petrol,7,Automatic Transmission,3500 - 3999 cc,300 - 399 HP,4,White,Black,Yes,"Dubai Marina, Dubai, UAE",UAE,Dubai,Dubai Marina,,25.0786415,55.1352524,Dealership/Certified Pre-Owned
359900,Alfa Romeo,Giulia,Quadrifoglio,100,2022,2,GCC Specs,4,Sedan,Petrol,4,Automatic Transmission,2500 - 2999 cc,500 - 599 HP,6,Blue,Black,Yes,"Dubai Marina, Dubai, UAE",UAE,Dubai,Dubai Marina,,25.0786415,55.1352524,Dealership/Certified Pre-Owned
139900,GAC,GS8,GL,22693,2023,1,GCC Specs,5,SUV,Petrol,7,Automatic Transmission,2000 - 2499 cc,200 - 299 HP,4,White,Black,Yes,"Al Khabaisi, Deira, Dubai, UAE",UAE,Dubai,Deira,Al Khabaisi,25.266173,55.3377718,Dealership/Certified Pre-Owned
